epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4642,0.8143,2.91163,1.36135,0.87311,0.33333,0.42484,0.34176,0.76653,1.96315,1.42118,0.00044299,0.00044299,0.00044299
2,37.278,0.5613,1.58145,1.06061,0.82296,0.33333,0.44279,0.3928,0.4953,1.44132,1.05872,0.000877988,0.000877988,0.000877988
3,50.9999,0.54823,1.3193,1.04547,0.32711,1,0.3802,0.32343,0.72211,1.31154,1.1148,0.00129035,0.00129035,0.00129035
4,64.3413,0.53216,1.22938,1.02092,0.31806,1,0.43128,0.37853,0.54794,1.1981,0.99619,0.0013229,0.0013229,0.0013229
5,77.5139,0.50934,1.187,1.0198,0.32779,1,0.40236,0.32914,0.76936,1.14547,1.35223,0.00128753,0.00128753,0.00128753
6,90.4751,0.47282,1.17173,0.976,0.32554,1,0.4608,0.40305,0.59371,1.13723,1.02484,0.00125216,0.00125216,0.00125216
7,103.585,0.47817,1.1391,0.98368,0.32728,1,0.49318,0.44174,0.51379,1.11437,0.97978,0.00121679,0.00121679,0.00121679
8,116.584,0.48578,1.11797,1.00066,0.32814,1,0.47168,0.40673,0.65925,1.09157,1.06918,0.00118143,0.00118143,0.00118143
9,129.241,0.47604,1.07436,0.99819,0.32818,1,0.48109,0.43555,0.43146,1.05655,0.94995,0.00114606,0.00114606,0.00114606
10,141.877,0.48307,1.0959,0.99416,0.32857,1,0.41526,0.3615,0.67063,1.14837,1.07862,0.00111069,0.00111069,0.00111069
11,154.546,0.44786,1.09586,0.96596,0.32854,1,0.45401,0.40405,0.59115,1.05865,1.03669,0.00107532,0.00107532,0.00107532
12,167.197,0.45398,1.11842,0.95946,0.32489,1,0.40918,0.36685,0.59517,1.06879,1.08092,0.00103995,0.00103995,0.00103995
13,179.786,0.44124,1.10967,0.96502,0.3288,1,0.42572,0.38301,0.55576,1.05951,1.0221,0.00100459,0.00100459,0.00100459
14,192.677,0.42551,1.046,0.97597,0.32922,1,0.46055,0.43468,0.4273,1.03337,0.93325,0.000969219,0.000969219,0.000969219
15,205.506,0.43977,1.03776,0.97276,0.3189,1,0.44298,0.38139,0.67188,1.13567,1.02371,0.000933851,0.000933851,0.000933851
16,218.077,0.44121,1.12706,0.95553,0.32984,1,0.4757,0.43785,0.46087,1.10844,0.91835,0.000898484,0.000898484,0.000898484
17,231.109,0.4166,1.06874,0.94041,0.329,1,0.48759,0.44022,0.5744,1.08782,0.98127,0.000863116,0.000863116,0.000863116
